date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:14:29	843916/843916	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22ce08c-607430cce20a4%22	https://themesbrand.com/chatvia-tailwind/layouts/assets/css/materialdesignicons-webfont.eot?v=7.1.96	D:/chat-tailwind-template/chatnew/themesbrand.com/chatvia-tailwind/layouts/assets/css/materialdesignicons-webfont3ba9.eot	(from https://themesbrand.com/chatvia-tailwind/layouts/assets/css/tailwind2.css)
18:14:29	202616/202616	---M--	200	added ('OK')	font/ttf	etag:%2231778-607430cce1104%22	https://themesbrand.com/chatvia-tailwind/layouts/assets/css/fa-solid-900.ttf	D:/chat-tailwind-template/chatnew/themesbrand.com/chatvia-tailwind/layouts/assets/css/fa-solid-900.ttf	(from https://themesbrand.com/chatvia-tailwind/layouts/assets/css/tailwind2.css)
18:14:31	276312/276312	---M--	200	added ('OK')	font/woff2	etag:%2243758-607430cce3044%22	https://themesbrand.com/chatvia-tailwind/layouts/assets/css/materialdesignicons-webfont.woff2?v=7.1.96	D:/chat-tailwind-template/chatnew/themesbrand.com/chatvia-tailwind/layouts/assets/css/materialdesignicons-webfont3ba9.woff2	(from https://themesbrand.com/chatvia-tailwind/layouts/assets/css/tailwind2.css)
18:14:31	390872/390872	---M--	200	added ('OK')	font/woff	etag:%225f6d8-607430cce3044%22	https://themesbrand.com/chatvia-tailwind/layouts/assets/css/materialdesignicons-webfont.woff?v=7.1.96	D:/chat-tailwind-template/chatnew/themesbrand.com/chatvia-tailwind/layouts/assets/css/materialdesignicons-webfont3ba9.woff	(from https://themesbrand.com/chatvia-tailwind/layouts/assets/css/tailwind2.css)
18:14:33	141248/141248	---M--	200	added ('OK')	font/woff2	etag:%22227c0-607430cce4f84%22	https://themesbrand.com/chatvia-tailwind/layouts/assets/css/remixicon.woff2?t=1590207869815	D:/chat-tailwind-template/chatnew/themesbrand.com/chatvia-tailwind/layouts/assets/css/remixicondf6d.woff2	(from https://themesbrand.com/chatvia-tailwind/layouts/assets/css/tailwind2.css)
18:14:35	194164/194164	---M--	200	added ('OK')	font/woff	etag:%222f674-607430cce4f84%22	https://themesbrand.com/chatvia-tailwind/layouts/assets/css/remixicon.woff?t=1590207869815	D:/chat-tailwind-template/chatnew/themesbrand.com/chatvia-tailwind/layouts/assets/css/remixicondf6d.woff	(from https://themesbrand.com/chatvia-tailwind/layouts/assets/css/tailwind2.css)
18:14:40	456980/456980	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%226f914-607430cce3fe4%22	https://themesbrand.com/chatvia-tailwind/layouts/assets/css/remixicon.eot?t=1590207869815	D:/chat-tailwind-template/chatnew/themesbrand.com/chatvia-tailwind/layouts/assets/css/remixicondf6d.eot	(from https://themesbrand.com/chatvia-tailwind/layouts/assets/css/tailwind2.css)
18:14:48	843916/843916	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22ce08c-607430cce20a4%22	https://themesbrand.com/chatvia-tailwind/layouts/assets/css/materialdesignicons-webfont.eot?	D:/chat-tailwind-template/chatnew/themesbrand.com/chatvia-tailwind/layouts/assets/css/materialdesignicons-webfontd41d.eot	(from https://themesbrand.com/chatvia-tailwind/layouts/assets/css/tailwind2.css)
18:14:48	7757/7757	---M--	200	added ('OK')	image/png	etag:%221e4d-607430cce6ec4%22	https://themesbrand.com/chatvia-tailwind/layouts/assets/images/logo-dark.png	D:/chat-tailwind-template/chatnew/themesbrand.com/chatvia-tailwind/layouts/assets/images/logo-dark.png	(from https://themesbrand.com/chatvia-tailwind/layouts/auth-lock-screen.html)
18:14:49	7732/7732	---M--	200	added ('OK')	image/png	etag:%221e34-607430cce6ec4%22	https://themesbrand.com/chatvia-tailwind/layouts/assets/images/logo-light.png	D:/chat-tailwind-template/chatnew/themesbrand.com/chatvia-tailwind/layouts/assets/images/logo-light.png	(from https://themesbrand.com/chatvia-tailwind/layouts/auth-lock-screen.html)
18:14:49	4472/4472	---M-Z	200	added ('OK')	text/html	etag:%221178-607430cd014a5-gzip%22	https://themesbrand.com/chatvia-tailwind/layouts/auth-recoverpw.html	D:/chat-tailwind-template/chatnew/themesbrand.com/chatvia-tailwind/layouts/auth-recoverpw.html	(from https://themesbrand.com/chatvia-tailwind/layouts/auth-login.html)
18:14:50	843696/843696	---M--	200	added ('OK')	font/ttf	etag:%22cdfb0-607430cce3044%22	https://themesbrand.com/chatvia-tailwind/layouts/assets/css/materialdesignicons-webfont.ttf?v=7.1.96	D:/chat-tailwind-template/chatnew/themesbrand.com/chatvia-tailwind/layouts/assets/css/materialdesignicons-webfont3ba9.ttf	(from https://themesbrand.com/chatvia-tailwind/layouts/assets/css/tailwind2.css)
18:14:50	456808/456808	---M--	200	added ('OK')	font/ttf	etag:%226f868-607430cce4f84%22	https://themesbrand.com/chatvia-tailwind/layouts/assets/css/remixicon.ttf?t=1590207869815	D:/chat-tailwind-template/chatnew/themesbrand.com/chatvia-tailwind/layouts/assets/css/remixicondf6d.ttf	(from https://themesbrand.com/chatvia-tailwind/layouts/assets/css/tailwind2.css)
18:14:50	6558/6558	---M-Z	200	added ('OK')	text/html	etag:%22199e-607430cd014a5-gzip%22	https://themesbrand.com/chatvia-tailwind/layouts/auth-register.html	D:/chat-tailwind-template/chatnew/themesbrand.com/chatvia-tailwind/layouts/auth-register.html	(from https://themesbrand.com/chatvia-tailwind/layouts/auth-login.html)
18:15:49	2138374/2138374	---M--	200	added ('OK')	image/svg+xml	etag:%2220a106-607430cce9da5%22	https://themesbrand.com/chatvia-tailwind/layouts/assets/images/remixicon.svg?t=1590207869815	D:/chat-tailwind-template/chatnew/themesbrand.com/chatvia-tailwind/layouts/assets/images/remixicondf6d.svg	(from https://themesbrand.com/chatvia-tailwind/layouts/assets/css/tailwind2.css)
